Fecha,Cantidad
2019-01-01,34
2019-01-02,47
2019-01-03,37
2019-01-04,50
2019-01-05,45
2019-01-06,39
2019-01-07,39
2019-01-08,69
2019-01-09,76
2019-01-10,54
2019-01-11,84
2019-01-12,58
2019-01-13,39
2019-01-14,65
2019-01-15,62
2019-01-16,66
2019-01-17,64
2019-01-18,68
2019-01-19,93
2019-01-20,48
2019-01-21,62
2019-01-22,51
2019-01-23,51
2019-01-24,50
2019-01-25,72
2019-01-26,39
2019-01-27,42
2019-01-28,51
2019-01-29,55
2019-01-30,61
2019-01-31,70
2019-02-01,88
2019-02-02,51
2019-02-03,55
2019-02-04,65
2019-02-05,78
2019-02-06,64
2019-02-07,63
2019-02-08,73
2019-02-09,69
2019-02-10,41
2019-02-11,57
2019-02-12,54
2019-02-13,68
2019-02-14,74
2019-02-15,80
2019-02-16,52
2019-02-17,48
2019-02-18,49
2019-02-19,58
2019-02-20,72
2019-02-21,68
2019-02-22,88
2019-02-23,52
2019-02-24,52
2019-02-25,61
2019-02-26,66
2019-02-27,66
2019-02-28,53
2019-03-01,73
2019-03-02,56
2019-03-03,44
2019-03-04,56
2019-03-05,55
2019-03-06,81
2019-03-07,60
2019-03-08,63
2019-03-09,44
2019-03-10,39
2019-03-11,66
2019-03-12,74
2019-03-13,79
2019-03-14,64
2019-03-15,70
2019-03-16,51
2019-03-17,47
2019-03-18,52
2019-03-19,62
2019-03-20,64
2019-03-21,69
2019-03-22,65
2019-03-23,44
2019-03-24,56
2019-03-25,60
2019-03-26,69
2019-03-27,77
2019-03-28,74
2019-03-29,72
2019-03-30,63
2019-03-31,50
2019-04-01,59
2019-04-02,62
2019-04-03,64
2019-04-04,59
2019-04-05,120
2019-04-06,62
2019-04-07,60
2019-04-08,69
2019-04-09,61
2019-04-10,57
2019-04-11,70
2019-04-12,76
2019-04-13,33
2019-04-14,35
2019-04-15,62
2019-04-16,63
2019-04-17,47
2019-04-18,38
2019-04-19,26
2019-04-20,32
2019-04-21,30
2019-04-22,50
2019-04-23,69
2019-04-24,101
2019-04-25,59
2019-04-26,86
2019-04-27,70
2019-04-28,65
2019-04-29,66
2019-04-30,73
2019-05-01,37
2019-05-02,32
2019-05-03,47
2019-05-04,43
2019-05-05,40
2019-05-06,58
2019-05-07,71
2019-05-08,55
2019-05-09,64
2019-05-10,67
2019-05-11,61
2019-05-12,54
2019-05-13,74
2019-05-14,63
2019-05-15,48
2019-05-16,68
2019-05-17,85
2019-05-18,54
2019-05-19,57
2019-05-20,64
2019-05-21,73
2019-05-22,73
2019-05-23,69
2019-05-24,67
2019-05-25,49
2019-05-26,60
2019-05-27,59
2019-05-28,69
2019-05-29,69
2019-05-30,62
2019-05-31,88
2019-06-01,63
2019-06-02,58
2019-06-03,63
2019-06-04,74
2019-06-05,58
2019-06-06,80
2019-06-07,82
2019-06-08,44
2019-06-09,45
2019-06-10,69
2019-06-11,62
2019-06-12,78
2019-06-13,70
2019-06-14,88
2019-06-15,43
2019-06-16,43
2019-06-17,71
2019-06-18,68
2019-06-19,70
2019-06-20,62
2019-06-21,74
2019-06-22,51
2019-06-23,53
2019-06-24,50
2019-06-25,55
2019-06-26,72
2019-06-27,72
2019-06-28,86
2019-06-29,50
2019-06-30,39
2019-07-01,60
2019-07-02,81
2019-07-03,78
2019-07-04,72
2019-07-05,61
2019-07-06,44
2019-07-07,60
2019-07-08,65
2019-07-09,79
2019-07-10,63
2019-07-11,59
2019-07-12,63
2019-07-13,40
2019-07-14,49
2019-07-15,72
